Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0024A,HU0024A,SPO-HU0024A_06001_100,SPP-HU_A_0000000000,SPO_F-HU0024A_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,31.7040100000,µg/m3,2021-01-01 00:00:00 +01:00,2021-01-01 01:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0024A,HU0024A,SPO-HU0024A_06001_100,SPP-HU_A_0000000000,SPO_F-HU0024A_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,26.6576050000,µg/m3,2021-01-01 01:00:00 +01:00,2021-01-01 02:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0024A,HU0024A,SPO-HU0024A_06001_100,SPP-HU_A_0000000000,SPO_F-HU0024A_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,16.4269200000,µg/m3,2021-01-01 02:00:00 +01:00,2021-01-01 03:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0024A,HU0024A,SPO-HU0024A_06001_100,SPP-HU_A_0000000000,SPO_F-HU0024A_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,11.0788600000,µg/m3,2021-01-01 03:00:00 +01:00,2021-01-01 04:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0024A,HU0024A,SPO-HU0024A_06001_100,SPP-HU_A_0000000000,SPO_F-HU0024A_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,9.1812365000,µg/m3,2021-01-01 04:00:00 +01:00,2021-01-01 05:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0024A,HU0024A,SPO-HU0024A_06001_100,SPP-HU_A_0000000000,SPO_F-HU0024A_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,12.5193970000,µg/m3,2021-01-01 05:00:00 +01:00,2021-01-01 06:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0024A,HU0024A,SPO-HU0024A_06001_100,SPP-HU_A_0000000000,SPO_F-HU0024A_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,19.1829300000,µg/m3,2021-01-01 06:00:00 +01:00,2021-01-01 07:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0024A,HU0024A,SPO-HU0024A_06001_100,SPP-HU_A_0000000000,SPO_F-HU0024A_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,19.8679350000,µg/m3,2021-01-01 07:00:00 +01:00,2021-01-01 08:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0024A,HU0024A,SPO-HU0024A_06001_100,SPP-HU_A_0000000000,SPO_F-HU0024A_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,19.4402650000,µg/m3,2021-01-01 08:00:00 +01:00,2021-01-01 09:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0024A,HU0024A,SPO-HU0024A_06001_100,SPP-HU_A_0000000000,SPO_F-HU0024A_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,19.9869600000,µg/m3,2021-01-01 09:00:00 +01:00,2021-01-01 10:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0024A,HU0024A,SPO-HU0024A_06001_100,SPP-HU_A_0000000000,SPO_F-HU0024A_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,20.2235650000,µg/m3,2021-01-01 10:00:00 +01:00,2021-01-01 11:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0024A,HU0024A,SPO-HU0024A_06001_100,SPP-HU_A_0000000000,SPO_F-HU0024A_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,19.5293600000,µg/m3,2021-01-01 11:00:00 +01:00,2021-01-01 12:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0024A,HU0024A,SPO-HU0024A_06001_100,SPP-HU_A_0000000000,SPO_F-HU0024A_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,16.2369850000,µg/m3,2021-01-01 12:00:00 +01:00,2021-01-01 13:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0024A,HU0024A,SPO-HU0024A_06001_100,SPP-HU_A_0000000000,SPO_F-HU0024A_06001_100_100,PM2.5,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001,hour,16.1262750000,µg/m3,2021-01-01 13:00:00 +01:00,2021-01-01 14:00:00 +01:00,1,3
