Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,12.4238075000,µg/m3,2021-01-01 00:00:00 +01:00,2021-01-01 01:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,10.4005330000,µg/m3,2021-01-01 01:00:00 +01:00,2021-01-01 02:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,9.1507968000,µg/m3,2021-01-01 02:00:00 +01:00,2021-01-01 03:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,8.6698433000,µg/m3,2021-01-01 03:00:00 +01:00,2021-01-01 04:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,4.9331313000,µg/m3,2021-01-01 04:00:00 +01:00,2021-01-01 05:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,15.0180300000,µg/m3,2021-01-01 05:00:00 +01:00,2021-01-01 06:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,10.4674530000,µg/m3,2021-01-01 06:00:00 +01:00,2021-01-01 07:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,13.2484100000,µg/m3,2021-01-01 07:00:00 +01:00,2021-01-01 08:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,21.0534625000,µg/m3,2021-01-01 08:00:00 +01:00,2021-01-01 09:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,18.2415875000,µg/m3,2021-01-01 09:00:00 +01:00,2021-01-01 10:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,16.2835400000,µg/m3,2021-01-01 10:00:00 +01:00,2021-01-01 11:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,26.0344850000,µg/m3,2021-01-01 11:00:00 +01:00,2021-01-01 12:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,42.0803675000,µg/m3,2021-01-01 12:00:00 +01:00,2021-01-01 13:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,45.0991925000,µg/m3,2021-01-01 13:00:00 +01:00,2021-01-01 14:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,45.9437400000,µg/m3,2021-01-01 14:00:00 +01:00,2021-01-01 15:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,46.9692800000,µg/m3,2021-01-01 15:00:00 +01:00,2021-01-01 16:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,40.9618125000,µg/m3,2021-01-01 16:00:00 +01:00,2021-01-01 17:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,25.6924250000,µg/m3,2021-01-01 17:00:00 +01:00,2021-01-01 18:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,14.5083693000,µg/m3,2021-01-01 18:00:00 +01:00,2021-01-01 19:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,5.8949148000,µg/m3,2021-01-01 19:00:00 +01:00,2021-01-01 20:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,5.4267880000,µg/m3,2021-01-01 20:00:00 +01:00,2021-01-01 21:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,18.8060975000,µg/m3,2021-01-01 21:00:00 +01:00,2021-01-01 22:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,14.3528440000,µg/m3,2021-01-01 22:00:00 +01:00,2021-01-01 23:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,10.1367295000,µg/m3,2021-01-01 23:00:00 +01:00,2021-01-02 00:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,9.9988115000,µg/m3,2021-01-02 00:00:00 +01:00,2021-01-02 01:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,16.9745018000,µg/m3,2021-01-02 01:00:00 +01:00,2021-01-02 02:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,17.5442425000,µg/m3,2021-01-02 02:00:00 +01:00,2021-01-02 03:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,21.6374900000,µg/m3,2021-01-02 03:00:00 +01:00,2021-01-02 04:00:00 +01:00,1,3
HU,HU.OMSZ.AQ,NET-HU004A,STA-HU0039A,HU0039A,SPO-HU0039A_00007_100,SPP-HU_A_UV-P_thermo49i,SPO_F-HU0039A_00007_100_101,O3,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/7,hour,20.6427650000,µg/m3,2021-01-02 04:00:00 +01:00,2021-01-02 05:00:00 +01:00,1,3
